year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
1982,0.8333333333333334,0.0,0.9090909090909091,30,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,30,window,26,7,50.0,71.43
1985,0.75,0.0,0.8571428571428571,30,window,34,4,50.0,75.0
1978,0.6666666666666666,0.0,0.8,25,window,4,3,50.0,66.67
1979,1.0,0.0,1.0,25,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,25,window,12,3,50.0,66.67
1982,0.8333333333333334,0.0,0.9090909090909091,25,window,18,6,50.0,83.33
1981,0.5,0.0,0.6666666666666666,25,window,16,2,50.0,50.0
1983,0.7142857142857143,0.0,0.8333333333333333,25,window,26,7,50.0,71.43
1984,0.8,0.0,0.888888888888889,25,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,25,window,34,4,50.0,75.0
1986,0.5714285714285714,0.0,0.7272727272727273,25,window,36,7,50.0,57.14
1987,0.3333333333333333,-0.4923659639173309,0.5,25,window,42,15,50.0,60.0
1988,0.8571428571428571,0.7302967433402214,0.8,25,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,25,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,25,window,70,8,50.0,100.0
1991,0.5416666666666666,0.0,0.7027027027027027,25,window,70,24,50.0,54.17
1992,0.6956521739130435,0.0,0.8205128205128205,25,window,92,23,50.0,69.57
1993,0.5333333333333333,0.0,0.6956521739130436,25,window,106,30,50.0,53.33
1994,0.5882352941176471,0.0,0.7407407407407407,25,window,132,34,50.0,58.82
1995,0.6666666666666666,0.0,0.8,25,window,158,21,50.0,66.67
1996,0.4,-0.3490899587257618,0.5714285714285714,25,window,170,35,50.0,51.43
1997,0.5909090909090909,0.06048758095342483,0.7096774193548386,25,window,202,44,50.0,61.36
1998,0.7192982456140351,0.06989760511142483,0.8297872340425532,25,window,236,57,50.0,75.44
1999,0.58,0.1531242328745111,0.7042253521126761,25,window,264,50,50.0,88.0
2000,0.6083333333333333,0.2794021012911053,0.6802721088435374,25,window,276,120,50.0,75.0
2001,0.7557251908396947,0.44774597773576846,0.8181818181818183,25,window,336,131,50.0,68.7
2002,0.732484076433121,0.3680364652085376,0.8141592920353982,25,window,408,157,50.0,78.34
2003,0.8620689655172413,0.4084805895343549,0.9209039548022601,25,window,476,203,50.0,90.64
2004,0.8277511961722488,0.44556951087492447,0.8959537572254336,25,window,512,209,50.0,88.52
2005,0.8396501457725948,0.19414998665154404,0.9099836333878888,25,window,560,343,50.0,92.13
2006,0.8797250859106529,0.35959703829572287,0.9333333333333333,25,window,612,582,50.0,93.81
2007,0.8416523235800344,0.36491760698193776,0.9089108910891088,25,window,682,581,50.0,92.43
2008,0.8219895287958116,0.3170281049032788,0.89738430583501,25,window,768,573,50.0,93.72
2009,0.7728,0.24685930766755723,0.8647619047619048,25,window,836,625,50.0,92.48
2010,0.7231040564373897,0.28099031300649374,0.8241881298992162,25,window,926,567,50.0,89.42
2011,0.7233115468409586,0.32463730538768787,0.8198581560283689,25,window,1044,459,50.0,87.36
2012,0.6716867469879518,0.35572226501068765,0.7665952890792291,25,window,1154,332,50.0,84.34
2013,0.710691823899371,0.42347188639263594,0.8034188034188035,25,window,1246,318,50.0,87.42
