year,accuracy,MCC,F1,alpha,window,method,training_size,test_size,train_distribution,test_distribution
1991,0.5,-0.19180536399919287,0.6666666666666667,5,15,window,62,24,50.0,54.17
1992,0.6521739130434783,0.17857142857142858,0.75,5,15,window,74,23,50.0,69.57
1993,0.7,0.41349254254555623,0.6896551724137931,5,15,window,88,30,50.0,53.33
1994,0.6176470588235294,0.20254787341673333,0.6829268292682926,5,15,window,114,34,50.0,58.82
2014,0.5333333333333333,0.29535867441209857,0.6266666666666666,5,10,window,848,240,50.0,85.0
2015,0.5045045045045045,0.24736818049592843,0.6014492753623188,5,10,window,872,222,50.0,85.59
1995,0.3333333333333333,-0.337099931231621,0.41666666666666663,5,15,window,142,21,50.0,66.67
1996,0.45714285714285713,-0.08251229524805619,0.42424242424242425,5,15,window,154,35,50.0,51.43
2016,0.5612244897959183,0.3363987623197511,0.6446280991735537,5,10,window,882,294,50.0,82.99
1997,0.5454545454545454,0.126356871353303,0.5652173913043478,5,15,window,186,44,50.0,61.36
1998,0.6140350877192983,0.2139047860513939,0.7027027027027026,5,15,window,218,57,50.0,75.44
1999,0.6,-0.020515248496555453,0.7368421052631579,5,15,window,242,50,50.0,88.0
2017,0.684331797235023,0.427657279641369,0.7772357723577236,5,10,window,910,434,50.0,86.41
2000,0.6083333333333333,0.22159476998949734,0.6928104575163399,5,15,window,250,120,50.0,75.0
2001,0.6412213740458015,0.3330460863211246,0.6887417218543046,5,15,window,308,131,50.0,68.7
2019,0.5773809523809523,0.30200715608682355,0.685840707964602,5,10,window,966,336,50.0,87.5
2018,0.6276595744680851,0.3733651775938548,0.7286821705426355,5,10,window,940,376,50.0,86.97
2002,0.6815286624203821,0.25413925713484375,0.7767857142857142,5,15,window,384,157,50.0,78.34
2020,0.4124087591240876,0.21734043844235945,0.5015479876160991,5,10,window,956,274,50.0,87.96
2021,0.5669515669515669,0.2731305479575394,0.6885245901639344,5,10,window,902,351,50.0,90.6
2003,0.7980295566502463,0.41895591707366253,0.8768768768768769,5,15,window,440,203,50.0,90.64
