year,accuracy,MCC,F1,window,batch_size,epochs,method,training_size,test_size,train_distribution,test_distribution
1988,0.2857142857142857,0.0,0.4444444444444445,40,16,20,window,36,7,50.0,28.57
1988,0.2857142857142857,0.0,0.4444444444444445,45,16,20,window,36,7,50.0,28.57
1988,0.2857142857142857,0.0,0.4444444444444445,50,16,20,window,36,7,50.0,28.57
1988,0.2857142857142857,0.0,0.4444444444444445,55,16,20,window,36,7,50.0,28.57
1989,0.2,-0.6123724356957946,0.3333333333333333,5,16,20,window,34,15,50.0,80.0
1989,0.4,-0.2004459314343183,0.5263157894736842,10,16,20,window,44,15,50.0,80.0
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,15,16,20,window,46,15,50.0,80.0
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,20,16,20,window,46,15,50.0,80.0
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,25,16,20,window,46,15,50.0,80.0
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,30,16,20,window,46,15,50.0,80.0
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,35,16,20,window,46,15,50.0,80.0
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,40,16,20,window,46,15,50.0,80.0
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,45,16,20,window,46,15,50.0,80.0
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,50,16,20,window,46,15,50.0,80.0
1989,0.3333333333333333,-0.2721655269759087,0.4444444444444444,55,16,20,window,46,15,50.0,80.0
1990,0.375,0.0,0.5454545454545454,5,16,20,window,36,8,50.0,100.0
1990,0.75,0.0,0.8571428571428571,10,16,20,window,50,8,50.0,100.0
1990,0.625,0.0,0.7692307692307693,15,16,20,window,52,8,50.0,100.0
1990,0.625,0.0,0.7692307692307693,20,16,20,window,52,8,50.0,100.0
1990,0.625,0.0,0.7692307692307693,25,16,20,window,52,8,50.0,100.0
1990,0.625,0.0,0.7692307692307693,30,16,20,window,52,8,50.0,100.0
1990,0.625,0.0,0.7692307692307693,35,16,20,window,52,8,50.0,100.0
1990,0.625,0.0,0.7692307692307693,40,16,20,window,52,8,50.0,100.0
1990,0.625,0.0,0.7692307692307693,45,16,20,window,52,8,50.0,100.0
1990,0.625,0.0,0.7692307692307693,50,16,20,window,52,8,50.0,100.0
1990,0.625,0.0,0.7692307692307693,55,16,20,window,52,8,50.0,100.0
1991,0.5416666666666666,0.02521364528296496,0.6857142857142856,5,16,20,window,34,24,50.0,54.17
1991,0.4583333333333333,-0.04828045495852676,0.3157894736842105,10,16,20,window,48,24,50.0,54.17
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,15,16,20,window,52,24,50.0,54.17
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,20,16,20,window,52,24,50.0,54.17
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,25,16,20,window,52,24,50.0,54.17
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,30,16,20,window,52,24,50.0,54.17
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,35,16,20,window,52,24,50.0,54.17
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,40,16,20,window,52,24,50.0,54.17
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,45,16,20,window,52,24,50.0,54.17
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,50,16,20,window,52,24,50.0,54.17
1991,0.5416666666666666,0.14484136487558028,0.42105263157894735,55,16,20,window,52,24,50.0,54.17
1992,0.4782608695652174,-0.23214285714285715,0.625,5,16,20,window,50,23,50.0,69.57
1992,0.5652173913043478,0.2846520432287211,0.5833333333333334,10,16,20,window,68,23,50.0,69.57
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,15,16,20,window,74,23,50.0,69.57
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,20,16,20,window,74,23,50.0,69.57
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,25,16,20,window,74,23,50.0,69.57
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,30,16,20,window,74,23,50.0,69.57
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,35,16,20,window,74,23,50.0,69.57
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,40,16,20,window,74,23,50.0,69.57
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,45,16,20,window,74,23,50.0,69.57
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,50,16,20,window,74,23,50.0,69.57
1992,0.7391304347826086,0.3386481059780782,0.823529411764706,55,16,20,window,74,23,50.0,69.57
1993,0.5333333333333333,0.09449111825230681,0.4615384615384615,5,16,20,window,52,30,50.0,53.33
1993,0.5666666666666667,0.1438234930593239,0.5517241379310345,10,16,20,window,80,30,50.0,53.33
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,15,16,20,window,88,30,50.0,53.33
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,20,16,20,window,88,30,50.0,53.33
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,25,16,20,window,88,30,50.0,53.33
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,30,16,20,window,88,30,50.0,53.33
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,35,16,20,window,88,30,50.0,53.33
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,40,16,20,window,88,30,50.0,53.33
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,45,16,20,window,88,30,50.0,53.33
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,50,16,20,window,88,30,50.0,53.33
1993,0.26666666666666666,-0.5640760748177662,0.4210526315789474,55,16,20,window,88,30,50.0,53.33
1994,0.6764705882352942,0.31298431857438064,0.7659574468085106,5,16,20,window,70,34,50.0,58.82
1994,0.47058823529411764,-0.09285714285714286,0.55,10,16,20,window,104,34,50.0,58.82
1994,0.4117647058823529,-0.1690308509457033,0.4444444444444445,15,16,20,window,114,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,20,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,25,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,30,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,35,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,40,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,45,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,50,16,20,window,116,34,50.0,58.82
1994,0.6176470588235294,0.20806259464411975,0.7547169811320755,5,16,20,window,70,34,50.0,58.82
1994,0.47058823529411764,-0.09285714285714286,0.55,10,16,20,window,104,34,50.0,58.82
1994,0.4117647058823529,-0.1690308509457033,0.4444444444444445,15,16,20,window,114,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,20,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,25,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,30,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,35,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,40,16,20,window,116,34,50.0,58.82
1994,0.5294117647058824,-0.041437096508237244,0.6521739130434783,45,16,20,window,116,34,50.0,58.82
1995,0.42857142857142855,-0.39528470752104744,0.6000000000000001,5,16,20,window,92,21,50.0,66.67
1995,0.42857142857142855,-0.39528470752104744,0.6000000000000001,10,16,20,window,128,21,50.0,66.67
1995,0.42857142857142855,-0.06933752452815364,0.45454545454545453,15,16,20,window,142,21,50.0,66.67
1995,0.5714285714285714,0.06933752452815364,0.6666666666666666,20,16,20,window,144,21,50.0,66.67
1995,0.5714285714285714,0.06933752452815364,0.6666666666666666,25,16,20,window,144,21,50.0,66.67
1995,0.5714285714285714,0.06933752452815364,0.6666666666666666,30,16,20,window,144,21,50.0,66.67
1995,0.5714285714285714,0.06933752452815364,0.6666666666666666,35,16,20,window,144,21,50.0,66.67
1995,0.5714285714285714,0.06933752452815364,0.6666666666666666,40,16,20,window,144,21,50.0,66.67
1995,0.5714285714285714,0.06933752452815364,0.6666666666666666,45,16,20,window,144,21,50.0,66.67
1996,0.5714285714285714,0.14462030521243746,0.6511627906976745,5,16,20,window,106,35,50.0,51.43
