year,accuracy,MCC,F1,window,method,training_size,test_size,train_distribution,test_distribution
1984,0.8,0.0,0.888888888888889,25,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,25,window,34,4,50.0,75.0
1986,0.5714285714285714,0.0,0.7272727272727273,25,window,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,25,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,25,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,25,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,25,window,70,8,50.0,100.0
1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,25,window,70,24,50.0,54.17
1992,0.5652173913043478,-0.25617376914899,0.7222222222222223,25,window,92,23,50.0,69.57
1993,0.5333333333333333,0.0,0.6956521739130436,25,window,106,30,50.0,53.33
1994,0.47058823529411764,-0.0073561235792062455,0.4375,25,window,132,34,50.0,58.82
1995,0.3333333333333333,-0.22360679774997896,0.3,25,window,158,21,50.0,66.67
1996,0.4857142857142857,-0.03300491809922247,0.5263157894736842,25,window,170,35,50.0,51.43
1997,0.6363636363636364,0.19218663979154194,0.7714285714285715,25,window,202,44,50.0,61.36
1998,0.7543859649122807,0.16235356053515326,0.8541666666666667,25,window,236,57,50.0,75.44
1999,0.88,0.0,0.9361702127659575,25,window,264,50,50.0,88.0
2000,0.7333333333333333,0.12830005981991682,0.8383838383838385,25,window,276,120,50.0,75.0
2001,0.8015267175572519,0.510063876642285,0.8673469387755102,25,window,336,131,50.0,68.7
2002,0.7898089171974523,0.27903816887495736,0.8735632183908046,25,window,408,157,50.0,78.34
2003,0.896551724137931,0.31300863344412755,0.9436997319034852,25,window,476,203,50.0,90.64
2004,0.8899521531100478,0.23824093694861892,0.9408740359897172,25,window,512,209,50.0,88.52
2005,0.9037900874635568,0.15856195586093602,0.9488372093023255,25,window,560,343,50.0,92.13
2006,0.929553264604811,0.33456253691238824,0.9626933575978162,25,window,612,582,50.0,93.81
2007,0.9070567986230637,0.322038028379743,0.9498141263940519,25,window,682,581,50.0,92.43
2008,0.8743455497382199,0.2445153995545544,0.9310344827586208,25,window,768,573,50.0,93.72
2009,0.88,0.2771133250783327,0.9340369393139841,25,window,836,625,50.0,92.48
2010,0.8412698412698413,0.28238558891813237,0.909274193548387,25,window,926,567,50.0,89.42
2011,0.8191721132897604,0.2956072700752579,0.8937259923175416,25,window,1044,459,50.0,87.36
2012,0.7319277108433735,0.1913897505877382,0.831758034026465,25,window,1154,332,50.0,84.34
2013,0.8018867924528302,0.4351692741491884,0.8767123287671232,25,window,1246,318,50.0,87.42
2014,0.7833333333333333,0.3503292361635921,0.8645833333333334,25,window,1316,240,50.0,85.0
2015,0.7837837837837838,0.2648248105521099,0.8688524590163934,25,window,1382,222,50.0,85.59
2016,0.7585034013605442,0.35036346806974433,0.8432671081677704,25,window,1446,294,50.0,82.99
2017,0.8594470046082949,0.44753649891578584,0.9174560216508795,25,window,1524,434,50.0,86.41
2018,0.8058510638297872,0.41505805692916564,0.8801313628899837,25,window,1628,376,50.0,86.97
2019,0.7827380952380952,0.2997431839357754,0.867513611615245,25,window,1698,336,50.0,87.5
2020,0.7518248175182481,0.2925275397770126,0.8447488584474886,25,window,1754,274,50.0,87.96
2021,0.8603988603988604,0.29077764013765706,0.9216,25,window,1806,351,50.0,90.6
2022,0.8818897637795275,0.3575178689992605,0.9344978165938864,25,window,1838,127,50.0,92.91
1978,0.3333333333333333,0.0,0.0,30,window,4,3,50.0,66.67
1979,0.0,0.0,0.0,30,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,30,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,30,window,16,2,50.0,50.0
1982,0.8333333333333334,0.0,0.9090909090909091,30,window,18,6,50.0,83.33
1983,0.7142857142857143,0.0,0.8333333333333333,30,window,26,7,50.0,71.43
1984,0.9,0.6666666666666666,0.9411764705882353,30,window,30,10,50.0,80.0
1985,0.75,0.0,0.8571428571428571,30,window,34,4,50.0,75.0
1986,0.5714285714285714,0.0,0.7272727272727273,30,window,36,7,50.0,57.14
1987,0.6,0.0,0.7499999999999999,30,window,42,15,50.0,60.0
1988,0.2857142857142857,0.0,0.4444444444444445,30,window,54,7,50.0,28.57
1989,0.8,0.0,0.888888888888889,30,window,64,15,50.0,80.0
1990,1.0,0.0,1.0,30,window,70,8,50.0,100.0
1991,0.4583333333333333,-0.2773500981126146,0.6285714285714286,30,window,70,24,50.0,54.17
1992,0.6521739130434783,0.024397501823713332,0.7777777777777777,30,window,92,23,50.0,69.57
1993,0.6333333333333333,0.27382077571623753,0.717948717948718,30,window,106,30,50.0,53.33
1994,0.5588235294117647,0.1663786103066024,0.5454545454545455,30,window,134,34,50.0,58.82
1995,0.3333333333333333,-0.5,0.5,30,window,162,21,50.0,66.67
1996,0.4857142857142857,-0.029411764705882353,0.5,30,window,176,35,50.0,51.43
1997,0.6136363636363636,0.0,0.7605633802816901,30,window,210,44,50.0,61.36
1998,0.7543859649122807,0.1126946786989845,0.8571428571428571,30,window,244,57,50.0,75.44
1999,0.82,-0.09329556203566844,0.9010989010989012,30,window,270,50,50.0,88.0
2000,0.725,0.15177106608654703,0.8290155440414507,30,window,280,120,50.0,75.0
2001,0.7557251908396947,0.3808380462157341,0.8383838383838385,30,window,338,131,50.0,68.7
2002,0.7770700636942676,0.2476866782854989,0.8648648648648648,30,window,418,157,50.0,78.34
2003,0.896551724137931,0.31300863344412755,0.9436997319034852,30,window,486,203,50.0,90.64
2004,0.8851674641148325,0.2410190443346143,0.9378238341968912,30,window,524,209,50.0,88.52
2005,0.9067055393586005,0.16876083774933534,0.9504643962848297,30,window,572,343,50.0,92.13
2006,0.929553264604811,0.316390827393449,0.9627611262488646,30,window,626,582,50.0,93.81
2007,0.9173838209982789,0.33012789332618125,0.9558011049723757,30,window,688,581,50.0,92.43
2008,0.8778359511343804,0.23395583200871947,0.933206106870229,30,window,776,573,50.0,93.72
2009,0.8928,0.2513706429014192,0.9418907198612315,30,window,846,625,50.0,92.48
2010,0.8518518518518519,0.30220799228594675,0.9158316633266533,30,window,940,567,50.0,89.42
2011,0.8082788671023965,0.28790796524251816,0.8863049095607235,30,window,1058,459,50.0,87.36
2012,0.7289156626506024,0.1991929471777054,0.8288973384030418,30,window,1172,332,50.0,84.34
2013,0.8081761006289309,0.44393516251344517,0.8810916179337231,30,window,1274,318,50.0,87.42
2014,0.7625,0.3368637066947399,0.8488063660477454,30,window,1350,240,50.0,85.0
2015,0.7657657657657657,0.23924622168377765,0.856353591160221,30,window,1418,222,50.0,85.59
2016,0.7721088435374149,0.2936498247846114,0.8577494692144373,30,window,1480,294,50.0,82.99
2017,0.8709677419354839,0.49703846946313585,0.9241192411924118,30,window,1574,434,50.0,86.41
2018,0.8271276595744681,0.43723600502327475,0.8949919224555736,30,window,1680,376,50.0,86.97
2019,0.7976190476190477,0.30704412431455885,0.878136200716846,30,window,1768,336,50.0,87.5
2020,0.7518248175182481,0.2925275397770126,0.8447488584474886,30,window,1846,274,50.0,87.96
2021,0.8603988603988604,0.29077764013765706,0.9216,30,window,1912,351,50.0,90.6
2022,0.8818897637795275,0.3575178689992605,0.9344978165938864,30,window,1956,127,50.0,92.91
1978,0.3333333333333333,0.0,0.0,35,window,4,3,50.0,66.67
1979,0.0,0.0,0.0,35,window,8,2,50.0,100.0
1980,0.6666666666666666,0.0,0.8,35,window,12,3,50.0,66.67
1981,0.5,0.0,0.6666666666666666,35,window,16,2,50.0,50.0
